通路,訂單編號,訂單成立日,實際出貨日,商品名稱,SKU,商品廠商編號,單價,數量,小計
PChome,20210530566924-08,2021/5/31,2021/5/31,77 乳加巧克力(8入),11102098,DBACFR-A90076Z5O-000,83,2,166
PChome,20210530415086-10,2021/5/31,2021/5/31,77 蜜蘭諾杏仁鬆塔144g,11208011,DBACFR-A9008F3SW-000,54,1,54
PChome,20210530599389-04,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210530953608-09,2021/5/31,2021/5/31,77 新貴派巧克力-花生(9入),11207088,DBACFR-A90086DUV-000,39,1,39
PChome,20210530993574-06,2021/5/31,2021/5/31,77 新貴派花生白巧風味(118g),11207079,DBACFR-A900A4P3K-000,39,1,39
PChome,20210529425883-25,2021/5/31,2021/5/31,77巧菲斯夾心酥(300g),11210017,DBACFR-A900A4P23-000,75,1,75
PChome,20210529141033-08,2021/5/31,2021/5/31,77 新貴派花生白巧風味(118g),11207079,DBACFR-A900A4P3K-000,39,1,39
PChome,20210528857120-06,2021/5/31,2021/5/31,77新貴派綜合包132g(花生/草莓),11207042,DBACFR-A900BCZMI-000,40,1,40
PChome,20210528280454-04,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210527820506-01,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210527820506-17,2021/5/31,2021/5/31,【77】午茶禮盒甜蜜時光_379.2g,11513044,DBAO1Q-A900B1U44-000,169,1,169
PChome,20210527820506-18,2021/5/31,2021/5/31,77 新貴派-藍莓口味(18入),11207034,DBACFR-A900771X6-000,72,1,72
PChome,20210527820506-19,2021/5/31,2021/5/31,77新貴派(抹茶)252g,11207065,DBACFR-A900AQNW3-000,72,1,72
PChome,20210525369794-07,2021/5/28,2021/5/28,77 新貴派花生白巧風味(118g),11207079,DBACFR-A900A4P3K-000,39,1,39
PChome,20210525864092-21,2021/5/29,2021/5/29,77乳加(372克),11102068,DBACFR-A900A4OXV-000,97,1,97
PChome,20210525864092-22,2021/5/29,2021/5/29,77巧菲斯夾心酥(300g),11210017,DBACFR-A900A4P23-000,75,1,75
PChome,20210525267229-06,2021/5/28,2021/5/28,77 新貴派花生白巧風味(118g),11207079,DBACFR-A900A4P3K-000,39,1,39
PChome,20210525266521-08,2021/5/31,2021/5/31,77 新貴派花生白巧風味(118g),11207079,DBACFR-A900A4P3K-000,39,1,39
PChome,20210524574417-09,2021/5/27,2021/5/27,77 乳加巧克力(8入),11102098,DBACFR-A90076Z5O-000,83,1,83
PChome,20210524526592-06,2021/5/28,2021/5/28,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210524914606-10,2021/5/29,2021/5/29,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210524914606-32,2021/5/29,2021/5/29,77 新貴派巧克力-草莓口味(18入),11207031,DBACFR-A9007710B-000,82,1,82
PChome,20210523433449-09,2021/5/28,2021/5/28,77新貴派(檸檬)252g,11207067,DBACFR-A900AQNW2-000,82,1,82
PChome,20210523509844-11,2021/5/31,2021/5/31,【宏亞】歐維氏72%醇黑巧克力 可可多酚(6入/量販裝),11103034,DBACFR-A900AYGWF-000,513,1,513
PChome,20210521246221-03,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,2,146
PChome,20210521058054-14,2021/5/31,2021/5/31,新貴派大格酥焙烤花生 20包入,11207057,DBACFR-A900A4JA9-000,77,1,77
PChome,20210520863912-05,2021/5/31,2021/5/31,77巧菲斯夾心酥(300g),11210017,DBACFR-A900A4P23-000,66,1,66
PChome,20210520863912-06,2021/5/31,2021/5/31,77 蜜蘭諾楓糖葡萄(12入),11208016,DBACFR-A900771W0-000,59,2,118
PChome,20210520243140-02,2021/5/30,2021/5/30,77 乳加巧克力(8入),11102098,DBACFR-A90076Z5O-000,83,1,83
PChome,20210520219663-02,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210520219663-06,2021/5/31,2021/5/31,77乳加(372克),11102068,DBACFR-A900A4OXV-000,97,1,97
PChome,20210520219663-07,2021/5/31,2021/5/31,77 哈哈球巧克力324g,11105002,DBACFR-A9008338L-000,72,1,72
PChome,20210520056716-12,2021/5/31,2021/5/31,77黑金剛花生乳加(276g),11102058,DBACFR-A900ARFJC-000,81,1,81
PChome,20210520590129-04,2021/5/31,2021/5/31,本味誠現 牛奶餅(12入),11209049,DBACFR-A9009E1TH-000,59,1,59
PChome,20210520007949-05,2021/5/31,2021/5/31,77巧菲斯夾心酥(300g),11210017,DBACFR-A900A4P23-000,75,2,150
PChome,20210520287613-11,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210520180259-06,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210520551044-04,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210520456575-03,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210520139236-09,2021/5/31,2021/5/31,77 蜜蘭諾黑巧酥(16入),11208026,DBACFR-A900771YW-000,68,1,68
PChome,20210520008505-06,2021/5/31,2021/5/31,77 mini新貴派巧克力-花生(294g),11207023,DBACFR-A90086DR1-000,147,1,147
PChome,20210520008505-07,2021/5/31,2021/5/31,77 新貴派 mini新貴派巧克力-花生(294g),11207023,DBACFR-A900BBWCD-000,0,1,0
PChome,20210520537838-02,2021/5/31,2021/5/31,本味誠現 乳酥餅(8入),11209059,DBACFR-A9008BC6U-000,40,5,200
PChome,20210520537838-03,2021/5/31,2021/5/31,本味誠現 乳酥餅(8入),11209059,DBACFR-A9008BC6U-000,40,5,200
PChome,20210520485181-07,2021/5/31,2021/5/31,新貴派大格酥焙烤花生 20包入,11207057,DBACFR-A900A4JA9-000,77,1,77
PChome,20210520341491-03,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210520993071-10,2021/5/31,2021/5/31,77 乳加巧克力(8入),11102098,DBACFR-A90076Z5O-000,83,1,83
PChome,20210520062686-02,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210520471047-01,2021/5/30,2021/5/30,本味誠現 乳酥餅(8入),11209059,DBACFR-A9008BC6U-000,40,5,200
PChome,20210520471047-02,2021/5/30,2021/5/30,本味誠現 乳酥餅(8入),11209059,DBACFR-A9008BC6U-000,40,5,200
PChome,20210520081794-02,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,2,146
PChome,20210520391779-03,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210520937034-09,2021/5/31,2021/5/31,本味誠現 乳酥餅(8入),11209059,DBACFR-A9008BC6U-000,40,1,40
PChome,20210520937034-10,2021/5/31,2021/5/31,本味誠現 乳酥餅(8入),11209059,DBACFR-A9008BC6U-000,40,1,40
PChome,20210520212921-03,2021/5/31,2021/5/31,巧菲斯夾心酥(牛奶口味) -10入(246g),11210020,DBACFR-A9009U15T-000,72,1,72
PChome,20210520212921-04,2021/5/31,2021/5/31,新貴派大格酥焙烤花生 20包入,11207057,DBACFR-A900A4JA9-000,68,1,68
PChome,20210520212921-05,2021/5/31,2021/5/31,77巧菲斯夾心酥(300g),11210017,DBACFR-A900A4P23-000,66,1,66
PChome,20210520283509-04,2021/5/31,2021/5/31,77巧菲斯夾心酥(300g),11210017,DBACFR-A900A4P23-000,75,1,75
PChome,20210520280730-05,2021/5/31,2021/5/31,77 綜合夾心酥_280g,11201004,DBACFR-A900BBW4Y-000,124,1,124
PChome,20210520280730-06,2021/5/31,2021/5/31,77 綜合夾心酥_280g,11201004,DBACFR-A900BBWDP-000,0,1,0
PChome,20210520837384-06,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210520981299-05,2021/5/31,2021/5/31,77 mini新貴派巧克力-花生(294g),11207023,DBACFR-A90086DR1-000,147,1,147
PChome,20210520981299-06,2021/5/31,2021/5/31,77 新貴派 mini新貴派巧克力-花生(294g),11207023,DBACFR-A900BBWCD-000,0,1,0
PChome,20210520534403-03,2021/5/31,2021/5/31,本味誠現 牛奶餅(12入),11209049,DBACFR-A9009E1TH-000,59,1,59
PChome,20210520534403-08,2021/5/31,2021/5/31,新貴派大格酥芝麻豆奶324g,11207058,DBACFR-A900A5LG2-000,77,1,77
PChome,20210520339062-01,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210520073806-02,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,2,146
PChome,20210520286341-04,2021/5/31,2021/5/31,本味誠現 乳酥餅(8入),11209059,DBACFR-A9008BC6U-000,40,1,40
PChome,20210520286341-05,2021/5/31,2021/5/31,本味誠現 乳酥餅(8入),11209059,DBACFR-A9008BC6U-000,40,1,40
PChome,20210520286341-06,2021/5/31,2021/5/31,本味誠現 蛋黃餅30入-(200g),11209016,DBACFR-A900AWO8X-000,83,1,83
PChome,20210520318448-01,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210520827964-02,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210520562910-10,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210520840455-13,2021/5/31,2021/5/31,77乳加(372克),11102068,DBACFR-A900A4OXV-000,85,1,85
PChome,20210520840455-14,2021/5/31,2021/5/31,77 乳加巧克力(8入),11102098,DBACFR-A90076Z5O-000,72,2,144
PChome,20210520104594-01,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210520927080-15,2021/5/31,2021/5/31,77巧菲斯夾心酥(300g),11210017,DBACFR-A900A4P23-000,75,1,75
PChome,20210520072517-02,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210520129378-04,2021/5/31,2021/5/31,巧菲斯夾心酥(牛奶口味) -10入(246g),11210020,DBACFR-A9009U15T-000,72,1,72
PChome,20210520129378-05,2021/5/31,2021/5/31,77 乳加巧克力(8入),11102098,DBACFR-A90076Z5O-000,72,1,72
PChome,20210520129378-06,2021/5/31,2021/5/31,新貴派大格酥焙烤花生 20包入,11207057,DBACFR-A900A4JA9-000,68,1,68
PChome,20210520817418-02,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210520833573-02,2021/5/31,2021/5/31,77大波露新台幣代可可脂巧克力 158g,11106022,DBACFR-A900AMX5L-000,52,2,104
PChome,20210520833573-10,2021/5/31,2021/5/31,77 蜜蘭諾黑巧酥(16入),11208026,DBACFR-A900771YW-000,59,3,177
PChome,20210520321741-04,2021/5/31,2021/5/31,77 巧克力醬250g,11301001,DBACFR-A9008339J-000,74,1,74
PChome,20210520856016-04,2021/5/31,2021/5/31,77 巧克力醬250g,11301001,DBACFR-A9008339J-000,74,1,74
PChome,20210520568478-16,2021/5/31,2021/5/31,77新貴派(抹茶)252g,11207065,DBACFR-A900AQNW3-000,72,1,72
PChome,20210520568478-17,2021/5/31,2021/5/31,77新貴派(檸檬)252g,11207067,DBACFR-A900AQNW2-000,72,1,72
PChome,20210520568478-18,2021/5/31,2021/5/31,77 新貴派花生白巧風味(118g),11207079,DBACFR-A900A4P3K-000,34,1,34
PChome,20210520575824-05,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210520456611-03,2021/5/31,2021/5/31,新貴派大格酥焙烤花生 20包入,11207057,DBACFR-A900A4JA9-000,77,1,77
PChome,20210520456611-04,2021/5/31,2021/5/31,新貴派大格酥陽光檸檬324g,11207056,DBACFR-A900A5LFG-000,77,1,77
PChome,20210520926137-04,2021/5/31,2021/5/31,77 mini新貴派巧克力-花生(294g),11207023,DBACFR-A90086DR1-000,147,1,147
PChome,20210520926137-05,2021/5/31,2021/5/31,77 新貴派 mini新貴派巧克力-花生(294g),11207023,DBACFR-A900BBWCD-000,0,1,0
PChome,20210520573426-01,2021/5/31,2021/5/31,77 新貴派巧克力-花生口味(18入),11207074,DBACFR-A900770ZK-000,73,1,73
PChome,20210520225617-04,2021/5/31,2021/5/31,77乳加(372克),11102068,DBACFR-A900A4OXV-000,85,2,170
PChome,20210520225617-05,2021/5/31,2021/5/31,77巧菲斯夾心酥(300g),11210017,DBACFR-A900A4P23-000,66,1,66
PChome,20210520220568-12,2021/5/31,2021/5/31,77 蜜蘭諾黑巧酥(16入),11208026,DBACFR-A900771YW-000,68,1,68
PChome,20210520853621-09,2021/5/31,2021/5/31,77乳加(372克),11102068,DBACFR-A900A4OXV-000,85,1,85
